Data from MMG 2020 are NOT directly comparable to data from any prior MMG study due to methodological changes made in 2020.,,,,,,
FIPS,State,"County, State",2018 Food Insecurity Rate,# of Food Insecure Persons in 2018,2018 Child food insecurity rate,# of Food Insecure Children in 2018
17001,IL,"Adams County, Illinois",10.20%,"6,770",14.20%," 2,130 "
17003,IL,"Alexander County, Illinois",19.50%,"1,270",32.40%, 510 
17005,IL,"Bond County, Illinois",10.30%,"1,730",15.80%, 510 
17007,IL,"Boone County, Illinois",8.70%,"4,640",12.90%," 1,770 "
17009,IL,"Brown County, Illinois",8.60%,570,11.70%, 120 
17011,IL,"Bureau County, Illinois",10.10%,"3,360",16.50%," 1,190 "
17013,IL,"Calhoun County, Illinois",11.30%,550,17.40%, 180 
17015,IL,"Carroll County, Illinois",9.90%,"1,450",13.80%, 390 
17017,IL,"Cass County, Illinois",9.70%,"1,230",12.80%, 390 
17019,IL,"Champaign County, Illinois",11.00%,"23,020",12.80%," 5,070 "
17021,IL,"Christian County, Illinois",10.60%,"3,520",15.40%," 1,050 "
17023,IL,"Clark County, Illinois",11.40%,"1,810",17.70%, 640 
17025,IL,"Clay County, Illinois",12.90%,"1,720",19.30%, 570 
17027,IL,"Clinton County, Illinois",8.70%,"3,260",11.90%, 950 
17029,IL,"Coles County, Illinois",13.20%,"6,850",18.60%," 1,740 "
17031,IL,"Cook County, Illinois",10.10%,"527,760",11.90%," 138,410 "
17033,IL,"Crawford County, Illinois",10.80%,"2,060",15.10%, 570 
17035,IL,"Cumberland County, Illinois",10.80%,"1,170",15.60%, 390 
17037,IL,"DeKalb County, Illinois",10.20%,"10,630",12.60%," 2,840 "
17039,IL,"De Witt County, Illinois",9.60%,"1,530",15.00%, 520 
17041,IL,"Douglas County, Illinois",9.20%,"1,810",12.90%, 640 
17043,IL,"DuPage County, Illinois",5.90%,"55,070",6.50%," 14,060 "
17045,IL,"Edgar County, Illinois",10.80%,"1,900",15.90%, 580 
17047,IL,"Edwards County, Illinois",9.90%,640,14.70%, 220 
17049,IL,"Effingham County, Illinois",9.20%,"3,130",13.90%," 1,120 "
17051,IL,"Fayette County, Illinois",13.10%,"2,850",20.60%, 930 
17053,IL,"Ford County, Illinois",12.30%,"1,650",19.30%, 590 
17055,IL,"Franklin County, Illinois",14.80%,"5,810",22.10%," 1,920 "
17057,IL,"Fulton County, Illinois",12.50%,"4,420",19.20%," 1,360 "
17059,IL,"Gallatin County, Illinois",14.90%,770,24.70%, 260 
17061,IL,"Greene County, Illinois",11.70%,"1,540",17.00%, 470 
17063,IL,"Grundy County, Illinois",8.00%,"4,070",10.40%," 1,340 "
17065,IL,"Hamilton County, Illinois",10.20%,840,14.60%, 270 
17067,IL,"Hancock County, Illinois",10.00%,"1,800",15.90%, 600 
17069,IL,"Hardin County, Illinois",15.40%,620,23.30%, 170 
17071,IL,"Henderson County, Illinois",9.60%,660,15.40%, 200 
17073,IL,"Henry County, Illinois",9.70%,"4,820",14.70%," 1,630 "
17075,IL,"Iroquois County, Illinois",10.70%,"3,030",15.50%, 960 
17077,IL,"Jackson County, Illinois",14.70%,"8,620",18.90%," 2,010 "
17079,IL,"Jasper County, Illinois",11.90%,"1,140",16.80%, 370 
17081,IL,"Jefferson County, Illinois",13.80%,"5,260",21.90%," 1,850 "
17083,IL,"Jersey County, Illinois",9.10%,"2,000",13.00%, 600 
17085,IL,"Jo Daviess County, Illinois",9.00%,"1,960",12.80%, 540 
17087,IL,"Johnson County, Illinois",11.90%,"1,500",18.20%, 420 
17089,IL,"Kane County, Illinois",7.10%,"37,740",9.40%," 13,190 "
17091,IL,"Kankakee County, Illinois",11.60%,"12,830",15.70%," 4,060 "
17093,IL,"Kendall County, Illinois",4.80%,"5,930",6.40%," 2,310 "
17095,IL,"Knox County, Illinois",13.10%,"6,660",18.90%," 1,900 "
17097,IL,"Lake County, Illinois",6.90%,"48,730",8.30%," 14,420 "
17099,IL,"LaSalle County, Illinois",11.00%,"12,140",16.50%," 3,970 "
17101,IL,"Lawrence County, Illinois",13.60%,"2,200",21.20%, 670 
17103,IL,"Lee County, Illinois",10.00%,"3,450",13.00%, 890 
17105,IL,"Livingston County, Illinois",11.20%,"4,060",16.00%," 1,250 "
17107,IL,"Logan County, Illinois",9.80%,"2,860",14.00%, 790 
17109,IL,"McDonough County, Illinois",12.30%,"3,810",15.30%, 790 
17111,IL,"McHenry County, Illinois",6.20%,"19,190",8.30%," 6,140 "
17113,IL,"McLean County, Illinois",9.20%,"15,860",10.70%," 4,050 "
17115,IL,"Macon County, Illinois",12.60%,"13,410",19.10%," 4,540 "
17117,IL,"Macoupin County, Illinois",10.90%,"4,990",17.10%," 1,670 "
17119,IL,"Madison County, Illinois",10.70%,"28,460",14.90%," 8,710 "
17121,IL,"Marion County, Illinois",13.20%,"5,010",20.90%," 1,820 "
17123,IL,"Marshall County, Illinois",9.60%,"1,130",15.70%, 370 
17125,IL,"Mason County, Illinois",12.80%,"1,760",19.80%, 560 
17127,IL,"Massac County, Illinois",14.80%,"2,130",22.10%, 710 
17129,IL,"Menard County, Illinois",9.00%,"1,110",14.50%, 400 
