"","site_name","site_address","site_city","site_state","site_zip","latitude","longitude","site_type"
"1","DHS Family Community Resource Center in Adams County","300 Maine St, 2nd floor","Quincy","IL"," 62301",39.931731,-91.411405,"Family Community Resource Center"
"2","DHS Family Community Resource Center in Bureau County","225 Backbone Rd E #2","Princeton","IL"," 61356",41.393544,-89.467653,"Family Community Resource Center"
"3","DHS Family Community Resource Center in Cass County","300 East 2nd Street","Beardstown","IL"," 62618",40.018025,-90.432441,"Family Community Resource Center"
"4","DHS Family Community Resource Center in Champaign County","705 N Country Fair Dr","Champaign","IL"," 61821",40.124008,-88.28222,"Family Community Resource Center"
"5","DHS Family Community Resource Center in Christian County","1100 N Cheney St","Taylorville","IL"," 62568",39.560121,-89.306787,"Family Community Resource Center"
"6","DHS Family Community Resource Center in Cook County - Calumet Park","831 W 119th St","Chicago","IL"," 60643",41.677133,-87.64312,"Family Community Resource Center"
"7","DHS Family Community Resource Center in Cook County - Englewood","5323 S Western Ave","Chicago","IL"," 60609",41.797002,-87.683966,"Family Community Resource Center"
"8","DHS Family Community Resource Center in Cook County - Humboldt Park","2753 West North Avenue","Chicago","IL"," 60647",41.909997,-87.69665,"Family Community Resource Center"
"9","DHS Family Community Resource Center in Cook County - Lower North","2650 West Fulton Street","Chicago","IL"," 60612",41.88672,-87.692989,"Family Community Resource Center"
"10","DHS Family Community Resource Center in Cook County - Mid South","1642 W 59th St, 2nd Floor","Chicago","IL"," 60636",41.787045,-87.666164,"Family Community Resource Center"
"11","DHS Family Community Resource Center in Cook County - North Suburban","3501 W Algonquin Rd - 4th Floor","Rolling Meadows","IL"," 60008",42.061488,-88.023279,"Family Community Resource Center"
"12","DHS Family Community Resource Center in Cook County - Northern","8001 Lincoln Ave - 4th Floor","Skokie","IL"," 60077",42.026604,-87.753425,"Family Community Resource Center"
"13","DHS Family Community Resource Center in Cook County - Northside","6200 N Hiawatha Ave, 5th Floor","Chicago","IL"," 60646",41.993427,-87.749948,"Family Community Resource Center"
"14","DHS Family Community Resource Center in Cook County - Northwest","4105 West Chicago Avenue","Chicago","IL"," 60651",41.894579,-87.72908,"Family Community Resource Center"
"15","DHS Family Community Resource Center in Cook County - Ogden","3920 West Ogden Avenue","Chicago","IL"," 60623",41.852138,-87.722999,"Family Community Resource Center"
