site_name,site_address,site_city,site_zip,site_state,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
PACE Alternative School,201 E Higbee St,Pittsfield,62363-1946,IL,39.600549,-90.806041,1,range_interpolation,201,E Higbee St,,,Pittsfield,IL,Pike County,62363,US,TIGER/Line® dataset from the US Census Bureau
The Lafayette Academy,747 W Lafayette Ave,Jacksonville,62650-1832,IL,39.737652,-90.240497,1,rooftop,747,W Lafayette Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
ARC,747 W Lafayette Ave,Jacksonville,62650-1832,IL,39.737652,-90.240497,1,rooftop,747,W Lafayette Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Adams County RSSP,1416 Maine St,Quincy,62301-4261,IL,39.931569,-91.393066,1,rooftop,1416,Maine St,,,Quincy,IL,Adams County,62301,US,Adams
Seymour Elementary School,404 W State St,Payson,62360-1041,IL,39.818201,-91.248042,1,rooftop,404,W State St,,,Payson,IL,Adams County,62360,US,Adams
Adams County of,507 Vermont St Ste G12,Quincy,62301-2998,IL,39.934934,-91.407676,1,rooftop,507,Vermont St,Ste,G12,Quincy,IL,Adams County,62301,US,Adams
Chaddock,205 S 24th St,Quincy,62301-4446,IL,39.929436,-91.375599,1,rooftop,205,S 24th St,,,Quincy,IL,Adams County,62301,US,Adams
Chaddock-Group Home,205 S 24th St,Quincy,62301-4446,IL,39.929436,-91.375599,1,rooftop,205,S 24th St,,,Quincy,IL,Adams County,62301,US,Adams
Lincoln-Douglas Elementary School,3211 Payson Rd,Quincy,62305-6441,IL,39.897854,-91.363588,1,rooftop,3211,Payson Rd,,,Quincy,IL,Adams County,62305,US,Adams
Quincy Jr High School,100 S 14th St,Quincy,62301-4209,IL,39.931225,-91.394067,1,rooftop,100,S 14th St,,,Quincy,IL,Adams County,62301,US,Adams
Sarah Atwater Denman Elementary School,4100 Harrison Street,Quincy,62305-6030,IL,39.911725,-91.355593,0.87,range_interpolation,4100,Harrison Ct,,,Quincy,IL,Adams County,62305,US,TIGER/Line® dataset from the US Census Bureau
Dr. Abby Fox Rooney Elementary School,4900 Columbus Rd,Quincy,,IL,39.945037,-91.33877,1,rooftop,4900,Columbus Rd,,,Quincy,IL,Adams County,62305,US,Adams
Thomas S Baldwin Elementary School,3000 Maine St,Quincy,62301-4417,IL,39.931046,-91.366933,1,rooftop,3000,Maine St,,,Quincy,IL,Adams County,62301,US,Adams
Colonel George Iles Elementary School,3111 N 12th St,Quincy,,IL,39.969153,-91.396689,1,rooftop,3111,N 12th St,,,Quincy,IL,Adams County,62305,US,Adams
Early Childhood,401 S 8th St,Quincy,62301-4149,IL,39.927614,-91.402773,1,rooftop,401,S 8th St,,,Quincy,IL,Adams County,62301,US,Adams
Brown County Elementary School,501 NW Cross St,Mount Sterling,62353-1149,IL,39.989949,-90.765481,1,range_interpolation,501,NW Cross St,,,Mount Sterling,IL,Brown County,62353,US,TIGER/Line® dataset from the US Census Bureau
Brown County Middle School,504 E Main Street,Mount Sterling,62353-1377,IL,39.983415,-90.75446,1,range_interpolation,504,E Main St,,,Mount Sterling,IL,Brown County,62353,US,TIGER/Line® dataset from the US Census Bureau
Beardstown Jr/Sr High School,500 E 15th St,Beardstown,62618-2052,IL,40.008224,-90.422724,1,range_interpolation,500,E 15th St,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Gard Elementary School,400 E 15th St,Beardstown,62618-2054,IL,40.007803,-90.423655,1,range_interpolation,400,E 15th St,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Grand Ave Sch,1301 Grand Ave,Beardstown,62618-8092,IL,40.00536,-90.436871,1,range_interpolation,1301,Grand Ave,,,Beardstown,IL,Cass County,62618,US,TIGER/Line® dataset from the US Census Bureau
Virginia Jr/ Sr High School,651 S Morgan St,Virginia,62691-1547,IL,39.946809,-90.217039,1,range_interpolation,651,S Morgan St,,,Virginia,IL,Cass County,62691,US,TIGER/Line® dataset from the US Census Bureau
A-C Central Elementary School,191 S Bluff St,Chandlerville,62627-9128,IL,40.048524,-90.147781,0.9,range_interpolation,191,N Bluff St,,,Chandlerville,IL,Cass County,62627,US,TIGER/Line® dataset from the US Census Bureau
Meredosia-Chambersburg High Sch,830 Main St,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Meredosia-Chambersburg Jr High,830 Main St,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Meredosia-Chambersburg Elem Sch,830 Main Street,Meredosia,62665-0440,IL,39.831687,-90.554622,1,rooftop,830,Main St,,,Meredosia,IL,Morgan County,62665,US,Morgan
Jacksonville Middle School,664 Lincoln Ave,Jacksonville,62650-2384,IL,39.725139,-90.2475,1,rooftop,664,Lincoln Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
South Jacksonville Elem School,1700 S West St,South Jacksonville,62650-3279,IL,39.710303,-90.231569,0.9,range_interpolation,1700,Southwest St,,,Jacksonville,IL,Morgan County,62650,US,TIGER/Line® dataset from the US Census Bureau
Crossroad Learning Center,30 N Central Park Plz,Jacksonville,62650-2024,IL,39.734985,-90.229723,1,rooftop,30,N Central Park Plz,,,Jacksonville,IL,Morgan County,62650,US,Morgan
North Jacksonville School,1626 State Highway 78 N,Jacksonville,62650-6228,IL,39.759349,-90.228528,1,rooftop,1626,State Highway 78 N,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Murrayville-Woodson Elem School,PO Box 170,Murrayville,62668-0170,IL,39.5856,-90.25206,0.33,place,170,PO Box,,,Murrayville,IL,Morgan County,62668,US,TIGER/Line® dataset from the US Census Bureau
The Early Years,516 Jordan St,Jacksonville,62650-1997,IL,39.735761,-90.235899,1,rooftop,516,Jordan St,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Washington Elem School,524 S Kosciusko St,Jacksonville,62650-2865,IL,39.729876,-90.235881,1,rooftop,524,S Kosciusko St,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Lincoln Elem School,320 W Independence Ave,Jacksonville,62650-1350,IL,39.74194,-90.232309,1,rooftop,320,W Independence Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Ivan K Garrison Center,936 W Michigan Ave,Jacksonville,62650-3113,IL,39.716553,-90.242895,1,rooftop,936,W Michigan Ave,,,Jacksonville,IL,Morgan County,62650,US,Morgan
Pleasant Hill High School,PO Box 277,Pleasant Hill,62366-0277,IL,39.447008,-90.87168,0.33,place,277,PO Box,,,Pleasant Hill,IL,Pike County,62366,US,TIGER/Line® dataset from the US Census Bureau
