Foodbank,"Site Name",Contact,Type,Address,City,County,State,ZIP,Hours,Phone,FAX,email,website,Notes,"Time Sensitive Notes",Latitude,Longitude,"Accuracy Score","Accuracy Type",Number,Street,"Unit Type","Unit Number",City,State,County,Zip,Country,Source
"Central Illinois Foodbank","Continuing Recovery Center","George Campbell","Homeless Shelter","202 W. Central",Irving,Montgomery,IL,62051,"24/7 Residential Shelter",217-533-4441,217-533-4303,,,"Closed Friday December 25th and Friday January 1st.",,39.203665,-89.405186,1,range_interpolation,202,"Central St",,,Irving,IL,"Montgomery County",62051,US,"TIGER/Line® dataset from the US Census Bureau"
"Central Illinois Foodbank",Quanada,"Nancy Tucker","Homeless Shelter","2707 Maine",Quincy,Adams,IL,62301,"Not Open to Public",217-222-3069,217-222-4574,,,"This site also provides a Food Pantry",,39.93203,-91.371471,1,rooftop,2707,"Maine St",,,Quincy,IL,"Adams County",62301,US,Adams
"Central Illinois Foodbank","Salvation Army - Quincy","Heidi Prather","Homeless Shelter","501 Broadway",Quincy,Adams,IL,62301,24/7,217-222-8655,217-228-5496,,,,,39.936008,-91.408131,1,rooftop,501,"Broadway St",,,Quincy,IL,"Adams County",62301,US,Adams
"Greater Chicago Food Depository","A Little Bit of Heaven Shelter","Sheila Braxton","Homeless Shelter","11321 South Wentworth Avenue",Chicago,Cook,IL,60628,"Mon thru Fri: B: 7:00am; L: 12:00pm; D: 3:00pm; Sat/Sun: B: 9:00am; D: 800pm","(773) 264-5332","(773) 264-5878",srbbraxton@sbcglobal.net,alboh.org,,,41.688259,-87.627527,1,rooftop,11321,"S Wentworth Ave",,,Chicago,IL,"Cook County",60628,US,"City of Chicago"
"Greater Chicago Food Depository","A Safe Haven Foundation SH","Angela Gerontakis","Homeless Shelter","2750 W Roosevelt Rd.",CHICAGO,Cook,IL,60608,"Daily: B:6:30-8:30, L:11:00-1:00, D:4:30-6:30; St & Sn:B:9:30-11:30am D:3-5pm",773-435-8331,773-435-8415,info@asafehaven.org,www.asafehaven.com,,,41.866846,-87.695308,1,rooftop,2750,"W Roosevelt Rd",,,Chicago,IL,"Cook County",60608,US,Cook
"Greater Chicago Food Depository","ASHUNTI RESIDENTIAL RECOVERY","Candice Rushing","Homeless Shelter","4944 W HURON ST",CHICAGO,COOK,IL,60644,"Monday: 7:00 AM - 8:30 AM; 11:30 AM - 12:30 PM","(773) 379-6981",,ashuntirms@att.net,,,,41.893389,-87.750008,1,rooftop,4944,"W Huron St",,,Chicago,IL,"Cook County",60644,US,"City of Chicago"
"Greater Chicago Food Depository","Breakthroough Urban Ministries: SH","Matthew Petersen","Homeless Shelter","402 N. St. Louis",Chicago,Cook,IL,60624,"Daily: B- 8:00am-9:00 am L- 9am-3pm D 8:00pm - 9:30 pm","773-346-1785 ext 295",773-346-1728,,,,,41.888352,-87.714008,1,rooftop,402,"N St Louis Ave",,,Chicago,IL,"Cook County",60624,US,"City of Chicago"
"Greater Chicago Food Depository","CCHC Amani House - SH","Katrina Woods","Homeless Shelter","8025 S Honore St",Chicago,Cook,IL,60620,"Daily: B:7-8am, L:12-1pm, D:5-6pm Sat. and Sun: B:10:30am -12 pm and D:5-6pm","(773) 874-8345 x227","(773) 874-9794",katrina.berry@cchcrchm.org,,,,41.74773,-87.669159,1,rooftop,8025,"S Honore St",,,Chicago,IL,"Cook County",60620,US,Cook
"Greater Chicago Food Depository","Cornerstone Community Outreach SH","Chris Ramsey","Homeless Shelter","4626 North Clifton",Chicago,Cook,IL,60640,"Daily: B: 8:00-9:00 am, L: 12:00-1:00 pm, D:4:30 -5:30 pm","(773) 271-8163","(773) 271-8245",,,,,41.966509,-87.659051,1,rooftop,4626,"N Clifton Ave",,,Chicago,IL,"Cook County",60640,US,"City of Chicago"
"Greater Chicago Food Depository","Family Rescue","Velma Ramos","Homeless Shelter","3234 E 91st St",Chicago,Cook,IL,IL,"24HRS/ B-7:00 am, L- 11:30 am, D- 5:00 pm","(773) 375-8400","(773) 375-1918",velma6432@yahoo.com,,,,41.730449,-87.545462,1,rooftop,3234,"E 91st St",,,Chicago,IL,"Cook County",60617,US,"City of Chicago"
